info @storybook/react v6.3.2
info 
info => Cleaning outputDir: C:\Users\migue\AppData\Local\Temp\chromatic--10544-IHl4mRFAek7k
info => Copying static files: ./public => ./
info => Loading presets
info => Compiling preview..
info => Loading 1 config file in "C:\Users\migue\Dev\learnstorybook-design-system\.storybook"
info => Loading 9 other files in "C:\Users\migue\Dev\learnstorybook-design-system\.storybook"
info => Adding stories defined in "C:\Users\migue\Dev\learnstorybook-design-system\.storybook\main.js"
info => Loading Webpack configuration from `node_modules\react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack4 setup
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\globals\polyfills.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\globals\globals.js C:\Users\migue\Dev\learnstorybook-design-system\.storybook\storybook-init-framework-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-docs\dist\esm\frameworks\common\config.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-docs\dist\esm\frameworks\react\config.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-links\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-actions\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-actions\dist\esm\preset\addArgs.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-backgrounds\dist\esm\preset\addParameter.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-measure\dist\esm\preset\preview.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\node_modules\storybook-addon-outline\dist\esm\preset\addDecorator.js-generated-other-entry.js C:\Users\migue\Dev\learnstorybook-design-system\.storybook\preview.js-generated-config-entry.js C:\Users\migue\Dev\learnstorybook-design-system\.storybook\generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 67% building 670/699 modules 29 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\migue\Dev\learnstorybook-design-system\src\Button.js
<s> [webpack.Progress] 67% building 671/699 modules 28 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\migue\Dev\learnstorybook-design-system\src\Button.js
<s> [webpack.Progress] 67% building 672/699 modules 27 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\migue\Dev\learnstorybook-design-system\src\Button.js
<s> [webpack.Progress] 67% building 672/700 modules 28 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 67% building 673/700 modules 27 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 67% building 674/700 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 67% building 675/700 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 67% building 676/700 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 677/700 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 678/700 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 679/700 modules 21 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 680/700 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 681/700 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 682/700 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 683/700 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 684/700 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 685/700 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 686/700 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 687/700 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 688/700 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 69% building 689/700 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\core-js\modules\es.string.small.js
<s> [webpack.Progress] 68% building 689/701 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_ListCache.js
<s> [webpack.Progress] 68% building 689/702 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_arrayLikeKeys.js
<s> [webpack.Progress] 68% building 689/703 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsMap.js
<s> [webpack.Progress] 68% building 689/704 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsSet.js
<s> [webpack.Progress] 68% building 689/705 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_nodeUtil.js
<s> [webpack.Progress] 68% building 689/706 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\syntaxhighlighter\formatter.js
<s> [webpack.Progress] 68% building 689/707 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\stubFalse.js
<s> [webpack.Progress] 68% building 689/708 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseCreate.js
<s> [webpack.Progress] 68% building 689/709 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_cloneArrayBuffer.js
<s> [webpack.Progress] 68% building 689/710 modules 21 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\source-map\lib\base64.js
<s> [webpack.Progress] 68% building 689/711 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_cloneTypedArray.js
<s> [webpack.Progress] 68% building 689/712 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_cloneSymbol.js
<s> [webpack.Progress] 67% building 689/713 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_cloneRegExp.js
<s> [webpack.Progress] 67% building 689/714 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_cloneDataView.js
<s> [webpack.Progress] 67% building 689/715 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_isPrototype.js
<s> [webpack.Progress] 67% building 689/716 modules 27 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-popper-tooltip\dist\esm\react-popper-tooltip.js
<s> [webpack.Progress] 67% building 690/716 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-popper-tooltip\dist\esm\react-popper-tooltip.js
<s> [webpack.Progress] 67% building 691/716 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-popper-tooltip\dist\esm\react-popper-tooltip.js
<s> [webpack.Progress] 67% building 692/716 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-popper-tooltip\dist\esm\react-popper-tooltip.js
<s> [webpack.Progress] 68% building 693/716 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-popper-tooltip\dist\esm\react-popper-tooltip.js
<s> [webpack.Progress] 68% building 694/716 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-popper-tooltip\dist\esm\react-popper-tooltip.js
<s> [webpack.Progress] 68% building 695/716 modules 21 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-popper-tooltip\dist\esm\react-popper-tooltip.js
<s> [webpack.Progress] 68% building 695/717 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseTrim.js
<s> [webpack.Progress] 68% building 696/717 modules 21 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseTrim.js
<s> [webpack.Progress] 68% building 696/718 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseGetAllKeys.js
<s> [webpack.Progress] 68% building 696/719 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_DataView.js
<s> [webpack.Progress] 68% building 696/720 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\function.prototype.name\shim.js
<s> [webpack.Progress] 67% building 696/721 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_getSymbols.js
<s> [webpack.Progress] 67% building 696/722 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_WeakMap.js
<s> [webpack.Progress] 67% building 697/722 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_WeakMap.js
<s> [webpack.Progress] 68% building 698/722 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_WeakMap.js
<s> [webpack.Progress] 68% building 699/722 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_WeakMap.js
<s> [webpack.Progress] 68% building 700/722 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_WeakMap.js
<s> [webpack.Progress] 68% building 700/723 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\migue\Dev\learnstorybook-design-system\src\stories\Header.jsx
<s> [webpack.Progress] 68% building 700/724 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-scripts\node_modules\babel-loader\lib\index.js??ref--9-oneOf-2!C:\Users\migue\Dev\learnstorybook-design-system\src\stories\Page.jsx
<s> [webpack.Progress] 67% building 700/725 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_Set.js
<s> [webpack.Progress] 67% building 700/726 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_copyObject.js
<s> [webpack.Progress] 67% building 701/726 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_copyObject.js
<s> [webpack.Progress] 67% building 701/727 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@emotion\hash\dist\hash.browser.esm.js
<s> [webpack.Progress] 67% building 702/727 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@emotion\hash\dist\hash.browser.esm.js
<s> [webpack.Progress] 68% building 703/727 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@emotion\hash\dist\hash.browser.esm.js
<s> [webpack.Progress] 68% building 704/727 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@emotion\hash\dist\hash.browser.esm.js
<s> [webpack.Progress] 68% building 705/727 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@emotion\hash\dist\hash.browser.esm.js
<s> [webpack.Progress] 68% building 706/727 modules 21 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@emotion\hash\dist\hash.browser.esm.js
<s> [webpack.Progress] 68% building 707/727 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@emotion\hash\dist\hash.browser.esm.js
<s> [webpack.Progress] 68% building 707/728 modules 21 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\addon-docs\dist\esm\index.js
<s> [webpack.Progress] 68% building 707/729 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\prop-types\index.js
<s> [webpack.Progress] 68% building 708/729 modules 21 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\prop-types\index.js
<s> [webpack.Progress] 68% building 709/729 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\prop-types\index.js
<s> [webpack.Progress] 68% building 710/729 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\prop-types\index.js
<s> [webpack.Progress] 68% building 711/729 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\prop-types\index.js
<s> [webpack.Progress] 68% building 712/729 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\prop-types\index.js
<s> [webpack.Progress] 68% building 712/730 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_getSymbolsIn.js
<s> [webpack.Progress] 68% building 712/731 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\eq.js
<s> [webpack.Progress] 68% building 712/732 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\Zoom\browserSupportsCssZoom.js
<s> [webpack.Progress] 68% building 713/732 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\Zoom\browserSupportsCssZoom.js
<s> [webpack.Progress] 68% building 714/732 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\Zoom\browserSupportsCssZoom.js
<s> [webpack.Progress] 68% building 715/732 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\Zoom\browserSupportsCssZoom.js
<s> [webpack.Progress] 68% building 716/732 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\Zoom\browserSupportsCssZoom.js
<s> [webpack.Progress] 68% building 717/732 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\Zoom\browserSupportsCssZoom.js
<s> [webpack.Progress] 68% building 717/733 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\doctrine\lib\doctrine.js
<s> [webpack.Progress] 68% building 718/733 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\doctrine\lib\doctrine.js
<s> [webpack.Progress] 68% building 718/734 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_createBaseFor.js
<s> [webpack.Progress] 68% building 718/735 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsMatch.js
<s> [webpack.Progress] 68% building 719/735 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsMatch.js
<s> [webpack.Progress] 68% building 720/735 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsMatch.js
<s> [webpack.Progress] 68% building 721/735 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsMatch.js
<s> [webpack.Progress] 68% building 722/735 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsMatch.js
<s> [webpack.Progress] 69% building 723/735 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsMatch.js
<s> [webpack.Progress] 69% building 724/735 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsMatch.js
<s> [webpack.Progress] 69% building 724/736 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonFunctionValue.js
<s> [webpack.Progress] 68% building 724/737 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonArray.js
<s> [webpack.Progress] 69% building 725/737 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonArray.js
<s> [webpack.Progress] 69% building 726/737 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonArray.js
<s> [webpack.Progress] 69% building 726/738 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\qs\lib\stringify.js
<s> [webpack.Progress] 69% building 727/738 modules 11 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\qs\lib\stringify.js
<s> [webpack.Progress] 69% building 727/739 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\qs\lib\formats.js
<s> [webpack.Progress] 68% building 727/740 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\qs\lib\parse.js
<s> [webpack.Progress] 68% building 727/741 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonObject.js
<s> [webpack.Progress] 68% building 728/741 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonObject.js
<s> [webpack.Progress] 69% building 729/741 modules 12 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonObject.js
<s> [webpack.Progress] 68% building 729/742 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseProperty.js
<s> [webpack.Progress] 68% building 729/743 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_castPath.js
<s> [webpack.Progress] 68% building 729/744 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseIsEqual.js
<s> [webpack.Progress] 68% building 729/745 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseGet.js
<s> [webpack.Progress] 68% building 730/745 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseGet.js
<s> [webpack.Progress] 68% building 730/746 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\polished\dist\polished.esm.js
<s> [webpack.Progress] 68% building 730/747 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\airbnb-js-shims\target\es2017.js
<s> [webpack.Progress] 68% building 730/748 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\hasIn.js
<s> [webpack.Progress] 68% building 730/749 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\flatten.js
<s> [webpack.Progress] 68% building 730/750 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_setToString.js
<s> [webpack.Progress] 68% building 730/751 modules 21 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_overRest.js
<s> [webpack.Progress] 68% building 730/752 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_matchesStrictComparable.js
<s> [webpack.Progress] 68% building 730/753 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_toKey.js
<s> [webpack.Progress] 68% building 730/754 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_isStrictComparable.js
<s> [webpack.Progress] 68% building 730/755 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_isKey.js
<s> [webpack.Progress] 67% building 730/756 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\get.js
<s> [webpack.Progress] 67% building 730/757 modules 27 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseSet.js
<s> [webpack.Progress] 67% building 730/758 modules 28 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\deep-object-diff\dist\utils\index.js
<s> [webpack.Progress] 67% building 731/758 modules 27 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\deep-object-diff\dist\utils\index.js
<s> [webpack.Progress] 67% building 732/758 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\deep-object-diff\dist\utils\index.js
<s> [webpack.Progress] 68% building 733/758 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\deep-object-diff\dist\utils\index.js
<s> [webpack.Progress] 68% building 734/758 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\deep-object-diff\dist\utils\index.js
<s> [webpack.Progress] 68% building 735/758 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\deep-object-diff\dist\utils\index.js
<s> [webpack.Progress] 68% building 736/758 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\deep-object-diff\dist\utils\index.js
<s> [webpack.Progress] 68% building 736/759 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\preview\loadCsf.js
<s> [webpack.Progress] 68% building 736/760 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\preview\StoryRenderer.js
<s> [webpack.Progress] 68% building 737/760 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\preview\StoryRenderer.js
<s> [webpack.Progress] 68% building 737/761 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\preview\url.js
<s> [webpack.Progress] 68% building 738/761 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\preview\url.js
<s> [webpack.Progress] 68% building 739/761 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\core-client\dist\esm\preview\url.js
<s> [webpack.Progress] 68% building 739/762 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_basePropertyDeep.js
<s> [webpack.Progress] 68% building 739/763 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-syntax-highlighter\dist\esm\prism-light.js
<s> [webpack.Progress] 68% building 739/764 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-syntax-highlighter\dist\esm\languages\prism\tsx.js
<s> [webpack.Progress] 67% building 739/765 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-syntax-highlighter\dist\esm\languages\prism\typescript.js
<s> [webpack.Progress] 67% building 739/766 modules 27 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-syntax-highlighter\dist\esm\languages\prism\yaml.js
<s> [webpack.Progress] 67% building 739/767 modules 28 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-syntax-highlighter\dist\esm\languages\prism\markdown.js
<s> [webpack.Progress] 67% building 739/768 modules 29 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\react-syntax-highlighter\dist\esm\languages\prism\markup.js
<s> [webpack.Progress] 67% building 739/769 modules 30 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es6-shim\es6-shim.js
<s> [webpack.Progress] 67% building 740/769 modules 29 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es6-shim\es6-shim.js
<s> [webpack.Progress] 67% building 741/769 modules 28 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es6-shim\es6-shim.js
<s> [webpack.Progress] 67% building 742/769 modules 27 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es6-shim\es6-shim.js
<s> [webpack.Progress] 67% building 743/769 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\es6-shim\es6-shim.js
<s> [webpack.Progress] 67% building 743/770 modules 27 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 67% building 744/770 modules 26 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 745/770 modules 25 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 746/770 modules 24 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 747/770 modules 23 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 748/770 modules 22 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 749/770 modules 21 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 750/770 modules 20 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 751/770 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 752/770 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 753/770 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 754/770 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 755/770 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 756/770 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 757/770 modules 13 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\@storybook\components\dist\esm\controls\react-editable-json-tree\components\JsonValue.js
<s> [webpack.Progress] 68% building 757/771 modules 14 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_listCacheClear.js
<s> [webpack.Progress] 68% building 757/772 modules 15 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\isTypedArray.js
<s> [webpack.Progress] 68% building 757/773 modules 16 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_baseTimes.js
<s> [webpack.Progress] 68% building 757/774 modules 17 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_isIndex.js
<s> [webpack.Progress] 68% building 757/775 modules 18 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\isArguments.js
<s> [webpack.Progress] 68% building 757/776 modules 19 active C:\Users\migue\Dev\learnstorybook-design-system\node_modules\lodash\_listCacheHas.js
